culture,final,total,final_share,ci_lower,ci_upper,max_closers
CHN,65,77,0.8441558441558441,0.7470629230044414,0.9085412777751818,0
ENS,4,5,0.8,0.37553462976252544,0.9637758913675698,0
JPN,169,202,0.8366336633663366,0.7794575343887922,0.8812451286178272,0
KOR,26,36,0.7222222222222222,0.5600751000260289,0.8415166205986538,0
CHN,65,77,0.8441558441558441,0.7470629230044414,0.9085412777751818,1
ENS,4,5,0.8,0.37553462976252544,0.9637758913675698,1
JPN,169,202,0.8366336633663366,0.7794575343887922,0.8812451286178272,1
KOR,26,36,0.7222222222222222,0.5600751000260289,0.8415166205986538,1
CHN,65,77,0.8441558441558441,0.7470629230044414,0.9085412777751818,3
ENS,4,5,0.8,0.37553462976252544,0.9637758913675698,3
JPN,169,202,0.8366336633663366,0.7794575343887922,0.8812451286178272,3
KOR,26,36,0.7222222222222222,0.5600751000260289,0.8415166205986538,3
