TABLE 13.1 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
PERSON: REAL SEP.: 1.25  REL.: .61 ... ITEM: REAL SEP.: 6.94  REL.: .98
 
         ITEM STATISTICS:  MEASURE ORDER
 
--------------------------------------------------------------------------------------------
|ENTRY   TOTAL  TOTAL    JMLE   MODEL|   INFIT  |  OUTFIT  |PTMEASUR-AL|EXACT MATCH|       |
|NUMBER  SCORE  COUNT  MEASURE  S.E. |MNSQ  ZSTD|MNSQ  ZSTD|CORR.  EXP.| OBS%  EXP%| ITEM  |
|------------------------------------+----------+----------+-----------+-----------+-------|
|    14    611    246    1.03     .07|1.10  1.18|1.11  1.34|  .19   .40| 40.2  41.5| Q14SOA|
|    15    679    245     .68     .07| .73 -3.78| .73 -3.76|  .52   .40| 42.9  36.9| Q15SA |
|     1    688    245     .63     .07|1.53  5.89|1.63  6.83|  .06   .40| 23.3  36.5| Q1SA  |
|    16    716    246     .51     .07| .82 -2.45| .83 -2.33|  .52   .40| 39.8  36.2| Q16SA |
|     2    732    246     .44     .07|1.08   .99|1.10  1.30|  .43   .40| 33.7  36.1| Q2SM  |
|     9    782    246     .19     .07| .85 -1.98| .86 -1.78|  .44   .39| 47.6  36.7| Q9SOA |
|     5    794    246     .14     .07|1.24  2.88|1.24  2.83|  .45   .39| 32.5  37.7| Q5RM  |
|    10    805    245     .07     .07|1.09  1.11|1.13  1.56|  .20   .39| 35.9  38.2| Q10SA |
|     4    813    246     .04     .07|1.29  3.33|1.32  3.57|  .25   .39| 30.5  38.2| Q4SM  |
|    11    825    246    -.02     .07|1.02   .30|1.08  1.02|  .13   .38| 39.8  39.7| Q11SA |
|     8    837    246    -.08     .07| .84 -1.99| .84 -1.98|  .44   .38| 47.6  40.5| Q8SOA |
|     7    860    244    -.24     .07| .75 -3.21| .75 -3.13|  .48   .37| 48.4  42.9| Q7RM  |
|     3    894    245    -.41     .08| .89 -1.34| .89 -1.22|  .58   .36| 51.4  45.7| Q3RM  |
|    17    938    246    -.65     .08| .89 -1.25| .86 -1.53|  .53   .35| 49.6  49.5| Q17SM |
|    13    945    246    -.69     .08| .94  -.63| .92  -.84|  .40   .35| 55.3  50.2| Q13RM |
|    12    961    246    -.79     .08|1.26  2.60|1.23  2.28|  .39   .34| 47.2  51.0| Q12SM |
|     6    953    242    -.85     .08| .66 -4.07| .64 -4.28|  .58   .34| 60.3  51.1| Q6SOA |
|------------------------------------+----------+----------+-----------+-----------+-------|
| MEAN   813.7  245.4     .00     .07|1.00  -.14|1.01  -.01|           | 42.7  41.7|       |
| P.SD   101.7    1.0     .54     .00| .23  2.69| .25  2.86|           |  9.3   5.5|       |
--------------------------------------------------------------------------------------------
 
TABLE 13.3 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
         ITEM CATEGORY/OPTION/DISTRACTOR FREQUENCIES:  MEASURE ORDER
 
-----------------------------------------------------------------------------------
|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |       |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM  |
|--------------------+------------+---------------------------------------+-------|
|   14   1         1 |     26  11 |     .37      .46  .09  1.3  1.3   .00 |Q14SOA | 1 Strongly disagree
|        2         2 |    112  46 |     .30*     .43  .04  1.1  1.1  -.13 |       | 2 Disagree
|        3         3 |     81  33 |     .36*     .42  .05  1.2  1.2  -.01 |       | 3 Neutral
|        4         4 |     17   7 |     .57      .68  .17  1.2  1.3   .10 |       | 4 Agree
|        5         5 |     10   4 |     .90      .98  .33  1.4  1.4   .21 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   15   1         1 |     15   6 |    -.06      .55  .15  1.0  1.0  -.22 |Q15SA  | 1 Strongly disagree
|        2         2 |     86  35 |     .16      .39  .04   .9   .9  -.31 |       | 2 Disagree
|        3         3 |     89  36 |     .42      .40  .04   .9   .9   .07 |       | 3 Neutral
|        4         4 |     50  20 |     .66      .42  .06   .9   .8   .29 |       | 4 Agree
|        5         5 |      5   2 |    1.62      .73  .37   .6   .6   .36 |       | 5 Strongly agree
|        MISSING *** |      2   1#|     .15      .00                 -.03 |       |
|                    |            |                                       |       |
|    1   1         1 |     22   9 |     .59      .65  .14  1.6  1.9   .14 |Q1SA   | 1 Strongly disagree
|        2         2 |     94  38 |     .31*     .39  .04  1.2  1.2  -.09 |       | 2 Disagree
|        3         3 |     49  20 |     .25*     .44  .06  1.5  1.4  -.12 |       | 3 Neutral
|        4         4 |     69  28 |     .40*     .45  .05  1.3  1.3   .03 |       | 4 Agree
|        5         5 |     11   4 |     .83      .99  .31  1.3  1.4   .20 |       | 5 Strongly agree
|        MISSING *** |      2   1#|     .38      .00                  .00 |       |
|                    |            |                                       |       |
|   16   1         1 |     15   6 |    -.02      .52  .14  1.0  1.0  -.20 |Q16SA  | 1 Strongly disagree
|        2         2 |     73  30 |     .16      .40  .05   .9   .9  -.28 |       | 2 Disagree
|        3         3 |     86  35 |     .36      .40  .04  1.0   .9  -.02 |       | 3 Neutral
|        4         4 |     63  26 |     .56      .30  .04   .9   .9   .21 |       | 4 Agree
|        5         5 |      9   4 |    1.64      .74  .26   .6   .6   .49 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    2   1         1 |     18   7 |    -.12      .42  .10   .9   .9  -.28 |Q2SM   | 1 Strongly disagree
|        2         2 |     69  28 |     .24      .42  .05  1.1  1.1  -.17 |       | 2 Disagree
|        3         3 |     78  32 |     .37      .47  .05  1.1  1.4  -.01 |       | 3 Neutral
|        4         4 |     63  26 |     .50      .40  .05  1.0  1.0   .15 |       | 4 Agree
|        5         5 |     18   7 |     .96      .60  .15   .9   .9   .33 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    9   1         1 |     10   4 |     .11      .61  .20  1.2  1.2  -.11 |Q9SOA  | 1 Strongly disagree
|        2         2 |     44  18 |     .09*     .45  .07   .9   .9  -.26 |       | 2 Disagree
|        3         3 |     99  40 |     .31      .35  .04   .8   .7  -.10 |       | 3 Neutral
|        4         4 |     78  32 |     .49      .39  .04  1.0  1.0   .16 |       | 4 Agree
|        5         5 |     15   6 |    1.18      .83  .22   .9   .8   .41 |       | 5 Strongly agree
