TABLE 10.1 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
PERSON: REAL SEP.: 1.25  REL.: .61 ... ITEM: REAL SEP.: 6.94  REL.: .98
 
         ITEM STATISTICS:  MISFIT ORDER
 
--------------------------------------------------------------------------------------------
|ENTRY   TOTAL  TOTAL    JMLE   MODEL|   INFIT  |  OUTFIT  |PTMEASUR-AL|EXACT MATCH|       |
|NUMBER  SCORE  COUNT  MEASURE  S.E. |MNSQ  ZSTD|MNSQ  ZSTD|CORR.  EXP.| OBS%  EXP%| ITEM  |
|------------------------------------+----------+----------+-----------+-----------+-------|
|     1    688    245     .63     .07|1.53  5.89|1.63  6.83|A .06   .40| 23.3  36.5| Q1SA  |
|     4    813    246     .04     .07|1.29  3.33|1.32  3.57|B .25   .39| 30.5  38.2| Q4SM  |
|    12    961    246    -.79     .08|1.26  2.60|1.23  2.28|C .39   .34| 47.2  51.0| Q12SM |
|     5    794    246     .14     .07|1.24  2.88|1.24  2.83|D .45   .39| 32.5  37.7| Q5RM  |
|    10    805    245     .07     .07|1.09  1.11|1.13  1.56|E .20   .39| 35.9  38.2| Q10SA |
|    14    611    246    1.03     .07|1.10  1.18|1.11  1.34|F .19   .40| 40.2  41.5| Q14SOA|
|     2    732    246     .44     .07|1.08   .99|1.10  1.30|G .43   .40| 33.7  36.1| Q2SM  |
|    11    825    246    -.02     .07|1.02   .30|1.08  1.02|H .13   .38| 39.8  39.7| Q11SA |
|    13    945    246    -.69     .08| .94  -.63| .92  -.84|I .40   .35| 55.3  50.2| Q13RM |
|     3    894    245    -.41     .08| .89 -1.34| .89 -1.22|h .58   .36| 51.4  45.7| Q3RM  |
|    17    938    246    -.65     .08| .89 -1.25| .86 -1.53|g .53   .35| 49.6  49.5| Q17SM |
|     9    782    246     .19     .07| .85 -1.98| .86 -1.78|f .44   .39| 47.6  36.7| Q9SOA |
|     8    837    246    -.08     .07| .84 -1.99| .84 -1.98|e .44   .38| 47.6  40.5| Q8SOA |
|    16    716    246     .51     .07| .82 -2.45| .83 -2.33|d .52   .40| 39.8  36.2| Q16SA |
|     7    860    244    -.24     .07| .75 -3.21| .75 -3.13|c .48   .37| 48.4  42.9| Q7RM  |
|    15    679    245     .68     .07| .73 -3.78| .73 -3.76|b .52   .40| 42.9  36.9| Q15SA |
|     6    953    242    -.85     .08| .66 -4.07| .64 -4.28|a .58   .34| 60.3  51.1| Q6SOA |
|------------------------------------+----------+----------+-----------+-----------+-------|
| MEAN   813.7  245.4     .00     .07|1.00  -.14|1.01  -.01|           | 42.7  41.7|       |
| P.SD   101.7    1.0     .54     .00| .23  2.69| .25  2.86|           |  9.3   5.5|       |
--------------------------------------------------------------------------------------------
 
TABLE 10.3 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
 
         ITEM CATEGORY/OPTION/DISTRACTOR FREQUENCIES:  MISFIT ORDER
 
-----------------------------------------------------------------------------------
|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |       |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM  |
|--------------------+------------+---------------------------------------+-------|
|    1 A 1         1 |     22   9 |     .59      .65  .14  1.6  1.9   .14 |Q1SA   | 1 Strongly disagree
|        2         2 |     94  38 |     .31*     .39  .04  1.2  1.2  -.09 |       | 2 Disagree
|        3         3 |     49  20 |     .25*     .44  .06  1.5  1.4  -.12 |       | 3 Neutral
|        4         4 |     69  28 |     .40*     .45  .05  1.3  1.3   .03 |       | 4 Agree
|        5         5 |     11   4 |     .83      .99  .31  1.3  1.4   .20 |       | 5 Strongly agree
|        MISSING *** |      2   1#|     .38      .00                  .00 |       |
|                    |            |                                       |       |
|    4 B 1         1 |      9   4 |     .24      .24  .08  1.2  1.2  -.05 |Q4SM   | 1 Strongly disagree
|        2         2 |     56  23 |     .25      .49  .07  1.2  1.3  -.13 |       | 2 Disagree
|        3         3 |     58  24 |     .26      .52  .07  1.2  1.3  -.13 |       | 3 Neutral
|        4         4 |     97  39 |     .44      .43  .04  1.0  1.0   .11 |       | 4 Agree
|        5         5 |     26  11 |     .68      .61  .12  1.1  1.1   .21 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   12 C 1         1 |      4   2 |    -.03      .57  .33  1.1  1.2  -.10 |Q12SM  | 1 Strongly disagree
|        2         2 |     22   9 |     .02      .40  .09  1.0  1.0  -.22 |       | 2 Disagree
|        3         3 |     35  14 |     .15      .37  .06   .9   .9  -.18 |       | 3 Neutral
|        4         4 |    117  48 |     .37      .37  .03   .8   .7  -.01 |       | 4 Agree
|        5         5 |     68  28 |     .64      .62  .08  1.0  1.0   .33 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|    5 D 1         1 |     17   7 |    -.10      .49  .12  1.0  1.0  -.26 |Q5RM   | 1 Strongly disagree
|        2         2 |     55  22 |     .19      .39  .05  1.0  1.0  -.20 |       | 2 Disagree
|        3         3 |     57  23 |     .29      .38  .05   .9   .8  -.09 |       | 3 Neutral
|        4         4 |     89  36 |     .48      .33  .04   .9   .9   .17 |       | 4 Agree
|        5         5 |     28  11 |     .85      .80  .15  1.1  1.1   .34 |       | 5 Strongly agree
|        MISSING *** |      1   0#|                                       |       |
|                    |            |                                       |       |
|   10 E 1         1 |      6   2 |     .24      .23  .10  1.2  1.2  -.04 |Q10SA  | 1 Strongly disagree
|        2         2 |     46  19 |     .23*     .42  .06  1.1  1.1  -.14 |       | 2 Disagree
|        3         3 |     84  34 |     .39      .56  .06  1.5  1.9   .02 |       | 3 Neutral
|        4         4 |     90  37 |     .36*     .42  .04  1.2  1.3  -.03 |       | 4 Agree
|        5         5 |     19   8 |     .80      .59  .14  1.0  1.0   .25 |       | 5 Strongly agree
|        MISSING *** |      2   1#|    -.07      .00                 -.06 |       |
|                    |            |                                       |       |
|   14 F 1         1 |     26  11 |     .37      .46  .09  1.3  1.3   .00 |Q14SOA | 1 Strongly disagree
|        2         2 |    112  46 |     .30*     .43  .04  1.1  1.1  -.13 |       | 2 Disagree
|        3         3 |     81  33 |     .36*     .42  .05  1.2  1.2  -.01 |       | 3 Neutral
|        4         4 |     17   7 |     .57      .68  .17  1.2  1.3   .10 |       | 4 Agree
