TABLE 17.1 JASON QUESTIONNAIRE                   ZOU968WS.TXT  Mar 05 2026 15:59
INPUT: 247 PERSON  17 ITEM  REPORTED: 246 PERSON  17 ITEM  5 CATS WINSTEPS 5.10.0.0
-----------------------------------------------------------------------------------
PERSON: REAL SEP.: 1.25  REL.: .61 ... ITEM: REAL SEP.: 6.94  REL.: .98
 
         PERSON STATISTICS:  MEASURE ORDER
 
--------------------------------------------------------------------------------------------
|ENTRY   TOTAL  TOTAL    JMLE   MODEL|   INFIT  |  OUTFIT  |PTMEASUR-AL|EXACT MATCH|       |
|NUMBER  SCORE  COUNT  MEASURE  S.E. |MNSQ  ZSTD|MNSQ  ZSTD|CORR.  EXP.| OBS%  EXP%| PERSON|
|------------------------------------+----------+----------+-----------+-----------+-------|
|   154     78     17    2.70     .44|2.76  3.18|2.23  2.43|  .40   .28| 76.5  62.7| P154  |
|   123     77     17    2.51     .42|1.87  1.92|1.74  1.70|  .11   .30| 41.2  59.9| P123  |
|   143     77     17    2.51     .42|1.87  1.92|1.74  1.70|  .11   .30| 41.2  59.9| P143  |
|   152     73     17    1.91     .36|2.76  3.32|2.41  2.90|  .38   .34| 23.5  52.9| P152  |
|    59     70     17    1.55     .33|1.16   .53|1.24   .74|  .31   .36| 29.4  49.5| P059  |
|    17     68     17    1.33     .32|1.24   .74|1.19   .62|  .80   .38| 17.6  49.5| P017  |
|    40     68     17    1.33     .32|1.43  1.18|1.42  1.15|  .39   .38| 47.1  49.5| P040  |
|    84     68     17    1.33     .32| .91  -.14| .87  -.27|  .51   .38| 47.1  49.5| P084  |
|    20     67     17    1.23     .31|1.54  1.42|1.52  1.38|  .45   .39| 29.4  49.6| P020  |
|   189     67     17    1.23     .31|1.08   .34|1.04   .24|  .42   .39| 35.3  49.6| P189  |
|    29     66     17    1.14     .31| .84  -.37| .86  -.29|  .79   .39| 35.3  47.9| P029  |
|    30     66     17    1.14     .31|4.18  5.36|3.91  5.02|  .45   .39|   .0  47.9| P030  |
|   111     66     17    1.14     .31|1.12   .46|1.05   .26|  .63   .39| 41.2  47.9| P111  |
|   177     61     16    1.08     .31|1.12   .45|1.03   .19|  .69   .38| 43.8  47.9| P177  |
|    81     65     17    1.05     .30|1.11   .43|1.06   .27|  .54   .40| 41.2  47.1| P081  |
|   103     65     17    1.05     .30|1.13   .47|1.05   .27|  .39   .40| 47.1  47.1| P103  |
|   186     65     17    1.05     .30|1.23   .75|1.12   .46|  .65   .40| 52.9  47.1| P186  |
|   202     65     17    1.05     .30|1.39  1.12|1.39  1.12|  .57   .40| 23.5  47.1| P202  |
|   247     65     17    1.05     .30|1.39  1.12|1.39  1.12|  .57   .40| 23.5  47.1| P247  |
|    38     64     17     .96     .30| .79  -.57| .83  -.40|  .73   .40| 35.3  46.2| P038  |
|    49     64     17     .96     .30|1.13   .48|1.04   .22|  .37   .40| 47.1  46.2| P049  |
|    55     64     17     .96     .30|1.63  1.67|1.52  1.41|  .67   .40| 35.3  46.2| P055  |
|   115     64     17     .96     .30|1.07   .31|1.02   .17|  .47   .40| 47.1  46.2| P115  |
|   122     64     17     .96     .30| .54 -1.55| .46 -1.86|  .21   .40| 58.8  46.2| P122  |
|   210     64     17     .96     .30|2.21  2.78|1.97  2.33|  .74   .40| 29.4  46.2| P210  |
|     6     63     17     .87     .29|1.09   .37|1.16   .57|  .44   .41| 29.4  46.2| P006  |
|    10     63     17     .87     .29| .67 -1.02| .64 -1.10|  .44   .41| 52.9  46.2| P010  |
|   118     63     17     .87     .29| .68  -.98| .61 -1.21|  .77   .41| 70.6  46.2| P118  |
|   158     63     17     .87     .29|3.30  4.49|3.51  4.70|  .02   .41| 11.8  46.2| P158  |
