TABLE 13.1 2026 SE Questionnaire (embedded fixed ZOU687WS.TXT  Mar 02 2026 13:09
INPUT: 49 PERSON  18 ITEM  REPORTED: 49 PERSON  18 ITEM  5 CATS WINSTEPS 5.10.0.0
---------------------------------------------------------------------------------
PERSON: REAL SEP.: 2.35  REL.: .85 ... ITEM: REAL SEP.: 4.61  REL.: .96
 
         ITEM STATISTICS:  MEASURE ORDER
 
-------------------------------------------------------------------------------------------
|ENTRY   TOTAL  TOTAL    JMLE   MODEL|   INFIT  |  OUTFIT  |PTMEASUR-AL|EXACT MATCH|      |
|NUMBER  SCORE  COUNT  MEASURE  S.E. |MNSQ  ZSTD|MNSQ  ZSTD|CORR.  EXP.| OBS%  EXP%| ITEM |
|------------------------------------+----------+----------+-----------+-----------+------|
|     1    124     49    1.55     .18|1.00   .07|1.15   .82|  .56   .61| 55.1  45.6| SEQ1 |
|     6    124     49    1.55     .18| .85  -.77| .87  -.67|  .64   .61| 57.1  45.6| SEQ6 |
|    17    140     49    1.02     .18| .81 -1.00| .81 -1.02|  .70   .61| 53.1  46.1| SEQ17|
|     4    142     49     .95     .18| .77 -1.24| .84  -.83|  .74   .61| 61.2  46.5| SEQ4 |
|     9    155     48     .38     .19| .78 -1.12| .75 -1.29|  .74   .60| 50.0  48.9| SEQ9 |
|    10    159     49     .36     .19| .93  -.30| .99   .01|  .68   .60| 40.8  49.8| SEQ10|
|     8    162     49     .25     .19| .52 -2.86| .53 -2.74|  .85   .59| 67.3  51.2| SEQ8 |
|     2    165     49     .13     .20| .87  -.59| .86  -.65|  .62   .59| 55.1  51.5| SEQ2 |
|     7    166     49     .09     .20|1.09   .48|1.23  1.11|  .61   .59| 51.0  51.7| SEQ7 |
|     5    164     48     .03     .20|1.05   .32|1.12   .63|  .60   .59| 47.9  52.5| SEQ5 |
|    18    168     49     .02     .20| .95  -.20|1.05   .32|  .49   .59| 59.2  52.6| SEQ18|
|    11    170     49    -.06     .20|1.69  2.86|1.82  3.20|  .38   .58| 40.8  53.3| SEQ11|
|     3    175     49    -.27     .21|1.09   .48|1.01   .12|  .39   .57| 46.9  55.9| SEQ3 |
|    13    176     49    -.31     .21|1.10   .55|1.22  1.01|  .47   .57| 57.1  56.1| SEQ13|
|    12    179     49    -.44     .21|1.14   .69|1.25  1.14|  .37   .57| 55.1  56.8| SEQ12|
|    14    188     49    -.85     .22|1.19   .88|1.15   .71|  .58   .55| 51.0  59.1| SEQ14|
|    16    206     49   -1.83     .25|1.07   .39|1.01   .14|  .48   .50| 67.3  60.9| SEQ16|
|    15    217     49   -2.55     .27| .86  -.66| .84  -.75|  .42   .47| 65.3  63.1| SEQ15|
|------------------------------------+----------+----------+-----------+-----------+------|
| MEAN   165.6   48.9     .00     .20| .99  -.11|1.03   .07|           | 54.5  52.6|      |
| P.SD    23.6     .3    1.00     .02| .23  1.15| .27  1.24|           |  7.6   5.1|      |
-------------------------------------------------------------------------------------------
 
TABLE 13.3 2026 SE Questionnaire (embedded fixed ZOU687WS.TXT  Mar 02 2026 13:09
INPUT: 49 PERSON  18 ITEM  REPORTED: 49 PERSON  18 ITEM  5 CATS WINSTEPS 5.10.0.0
---------------------------------------------------------------------------------
 
         ITEM CATEGORY/OPTION/DISTRACTOR FREQUENCIES:  MEASURE ORDER
 
----------------------------------------------------------------------------------
|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |      |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM |
|--------------------+------------+---------------------------------------+------|
|    1   1         1 |      5  10 |    -.83      .66  .33   .6   .6  -.46 |SEQ1  | 1 Strongly disagree
|        2         2 |     22  45 |     .43     1.05  .23  1.6  2.1  -.11 |      | 2 Disagree
|        3         3 |     16  33 |     .77      .56  .14   .8   .7   .14 |      | 3 Neutral
|        4         4 |      3   6 |    1.40      .29  .21   .8   .8   .21 |      | 4 Agree
|        5         5 |      3   6 |    1.86      .14  .10  1.0  1.1   .33 |      | 5 Strongly agree
|                    |            |                                       |      |
|    6   1         1 |      7  14 |    -.84      .73  .30   .7   .6  -.57 |SEQ6  | 1 Strongly disagree
|        2         2 |     15  31 |     .45      .86  .23  1.5  1.5  -.07 |      | 2 Disagree
|        3         3 |     23  47 |     .82      .56  .12   .7   .7   .24 |      | 3 Neutral
|        4         4 |      2   4 |    2.03     1.56 1.56  1.3  1.0   .30 |      | 4 Agree
|        5         5 |      2   4 |    1.81*     .15  .15  1.0  1.1   .26 |      | 5 Strongly agree
|                    |            |                                       |      |
|   17   1         1 |      4   8 |    -.71      .92  .53  1.0   .9  -.38 |SEQ17 | 1 Strongly disagree
|        2         2 |     15  31 |     .01      .76  .20   .9   .9  -.36 |      | 2 Disagree
|        3         3 |     15  31 |     .47      .61  .16   .8   .7  -.06 |      | 3 Neutral
|        4         4 |     14  29 |    1.52      .70  .19   .6   .6   .61 |      | 4 Agree
|        5         5 |      1   2 |    1.66      .00       1.0  1.1   .16 |      | 5 Strongly agree
|                    |            |                                       |      |
|    4   1         1 |      4   8 |   -1.01      .69  .40   .7   .7  -.46 |SEQ4  | 1 Strongly disagree
|        2         2 |     13  27 |     .06      .76  .22  1.0  1.0  -.30 |      | 2 Disagree
|        3         3 |     19  39 |     .46      .55  .13   .6   .6  -.07 |      | 3 Neutral
|        4         4 |     10  20 |    1.63      .71  .24   .5   .5   .54 |      | 4 Agree
|        5         5 |      3   6 |    1.81      .21  .15  1.0  1.1   .32 |      | 5 Strongly agree
|                    |            |                                       |      |
|    9   1         1 |      2   4 |   -1.19      .28  .28   .6   .6  -.36 |SEQ9  | 1 Strongly disagree
|        2         2 |     10  21 |    -.29      .75  .25   .9   .8  -.43 |      | 2 Disagree
|        3         3 |     13  27 |     .33      .66  .19   .7   .7  -.14 |      | 3 Neutral
|        4         4 |     21  44 |    1.06      .62  .14   .8   .8   .43 |      | 4 Agree
|        5         5 |      2   4 |    2.78      .82  .82   .6   .6   .45 |      | 5 Strongly agree
|        MISSING *** |      1   2#|     .49      .00                 -.01 |      |
|                    |            |                                       |      |
|   10   1         1 |      2   4 |   -1.19      .28  .28   .6   .6  -.36 |SEQ10 | 1 Strongly disagree
|        2         2 |      9  18 |    -.22      .84  .30  1.0  1.0  -.36 |      | 2 Disagree
|        3         3 |     17  35 |     .43      .80  .20  1.0  1.1  -.09 |      | 3 Neutral
|        4         4 |     17  35 |     .91      .55  .14   .9   .9   .26 |      | 4 Agree
|        5         5 |      4   8 |    2.18      .83  .48   .8   .8   .48 |      | 5 Strongly agree
|                    |            |                                       |      |
|    8   1         1 |      3   6 |   -1.49      .48  .34   .5   .5  -.52 |SEQ8  | 1 Strongly disagree
|        2         2 |      6  12 |    -.53      .23  .10   .4   .4  -.40 |      | 2 Disagree
