"group","category","standardized_residual"
"CHN","discourse_organizer",15.3308387097383
"JPN","stance",12.2478442621589
"JPN","discourse_organizer",-12.0387550301391
"CHN","stance",-9.72613648499091
"JPN","referential",-9.63780672725847
"JPN","vague_extender",7.41219113681297
"ENS","vague_extender",-5.35677233119565
"KOR","referential",4.91641784801762
"KOR","stance",-4.34734123921187
"ENS","referential",4.30477156819592
"ENS","discourse_organizer",-3.45721957292179
"CHN","referential",2.72857707874355
"KOR","vague_extender",-2.40577751047259
"CHN","vague_extender",-1.40886694178703
"KOR","discourse_organizer",1.32522938860438
"ENS","stance",-0.250505321404763
