"file","group","category","bundle","raw_frequency"
"CHN_A20.txt","CHN","referential","a lot of",52
"CHN_A20.txt","CHN","vague_extender","and so forth",0
"CHN_A20.txt","CHN","vague_extender","and so on",13
"CHN_A20.txt","CHN","discourse_organizer","as a result",1
"CHN_A20.txt","CHN","referential","be able to",4
"CHN_A20.txt","CHN","referential","because of the",1
"CHN_A20.txt","CHN","referential","due to the",0
"CHN_A20.txt","CHN","discourse_organizer","first of all",7
"CHN_A20.txt","CHN","stance","i agree with",16
"CHN_A20.txt","CHN","stance","i believe that",6
"CHN_A20.txt","CHN","stance","i disagree with",4
"CHN_A20.txt","CHN","stance","i do not",3
"CHN_A20.txt","CHN","stance","i think it",26
"CHN_A20.txt","CHN","stance","i think that",14
"CHN_A20.txt","CHN","stance","in my opinion",34
"CHN_A20.txt","CHN","referential","in order to",2
"CHN_A20.txt","CHN","stance","it is better",1
"CHN_A20.txt","CHN","stance","it is difficult",3
"CHN_A20.txt","CHN","stance","it is important",32
"CHN_A20.txt","CHN","stance","it is necessary",8
"CHN_A20.txt","CHN","referential","many kinds of",0
"CHN_A20.txt","CHN","referential","more and more",31
"CHN_A20.txt","CHN","discourse_organizer","on the other hand",20
"CHN_A20.txt","CHN","referential","one of the",2
"CHN_A20.txt","CHN","vague_extender","or something like",0
"CHN_A20.txt","CHN","referential","the most important",15
"CHN_A20.txt","CHN","stance","there are many",11
"CHN_A20.txt","CHN","stance","there is no",10
"CHN_A20.txt","CHN","vague_extender","things like that",0
"CHN_A20.txt","CHN","discourse_organizer","to sum up",2
"CHN_A20.txt","CHN","stance","we have to",4
"CHN_A20.txt","CHN","stance","we should not",1
"CHN_A20.txt","CHN","discourse_organizer","what is more",4
"CHN_B11.txt","CHN","referential","a lot of",168
"CHN_B11.txt","CHN","vague_extender","and so forth",2
"CHN_B11.txt","CHN","vague_extender","and so on",45
"CHN_B11.txt","CHN","discourse_organizer","as a result",25
"CHN_B11.txt","CHN","referential","be able to",6
"CHN_B11.txt","CHN","referential","because of the",15
"CHN_B11.txt","CHN","referential","due to the",5
"CHN_B11.txt","CHN","discourse_organizer","first of all",60
"CHN_B11.txt","CHN","stance","i agree with",49
"CHN_B11.txt","CHN","stance","i believe that",17
"CHN_B11.txt","CHN","stance","i disagree with",3
"CHN_B11.txt","CHN","stance","i do not",7
"CHN_B11.txt","CHN","stance","i think it",143
"CHN_B11.txt","CHN","stance","i think that",42
"CHN_B11.txt","CHN","stance","in my opinion",128
"CHN_B11.txt","CHN","referential","in order to",39
"CHN_B11.txt","CHN","stance","it is better",5
"CHN_B11.txt","CHN","stance","it is difficult",5
"CHN_B11.txt","CHN","stance","it is important",104
"CHN_B11.txt","CHN","stance","it is necessary",28
"CHN_B11.txt","CHN","referential","many kinds of",13
"CHN_B11.txt","CHN","referential","more and more",129
"CHN_B11.txt","CHN","discourse_organizer","on the other hand",77
"CHN_B11.txt","CHN","referential","one of the",23
"CHN_B11.txt","CHN","vague_extender","or something like",0
"CHN_B11.txt","CHN","referential","the most important",37
"CHN_B11.txt","CHN","stance","there are many",47
"CHN_B11.txt","CHN","stance","there is no",47
"CHN_B11.txt","CHN","vague_extender","things like that",0
"CHN_B11.txt","CHN","discourse_organizer","to sum up",13
"CHN_B11.txt","CHN","stance","we have to",29
"CHN_B11.txt","CHN","stance","we should not",17
"CHN_B11.txt","CHN","discourse_organizer","what is more",12
"CHN_B12.txt","CHN","referential","a lot of",113
"CHN_B12.txt","CHN","vague_extender","and so forth",0
"CHN_B12.txt","CHN","vague_extender","and so on",18
"CHN_B12.txt","CHN","discourse_organizer","as a result",16
"CHN_B12.txt","CHN","referential","be able to",0
"CHN_B12.txt","CHN","referential","because of the",6
"CHN_B12.txt","CHN","referential","due to the",2
"CHN_B12.txt","CHN","discourse_organizer","first of all",44
"CHN_B12.txt","CHN","stance","i agree with",60
"CHN_B12.txt","CHN","stance","i believe that",8
"CHN_B12.txt","CHN","stance","i disagree with",18
"CHN_B12.txt","CHN","stance","i do not",4
"CHN_B12.txt","CHN","stance","i think it",131
"CHN_B12.txt","CHN","stance","i think that",41
"CHN_B12.txt","CHN","stance","in my opinion",59
"CHN_B12.txt","CHN","referential","in order to",23
"CHN_B12.txt","CHN","stance","it is better",3
"CHN_B12.txt","CHN","stance","it is difficult",3
"CHN_B12.txt","CHN","stance","it is important",46
"CHN_B12.txt","CHN","stance","it is necessary",9
"CHN_B12.txt","CHN","referential","many kinds of",7
"CHN_B12.txt","CHN","referential","more and more",71
"CHN_B12.txt","CHN","discourse_organizer","on the other hand",30
"CHN_B12.txt","CHN","referential","one of the",14
"CHN_B12.txt","CHN","vague_extender","or something like",3
"CHN_B12.txt","CHN","referential","the most important",33
"CHN_B12.txt","CHN","stance","there are many",38
"CHN_B12.txt","CHN","stance","there is no",17
"CHN_B12.txt","CHN","vague_extender","things like that",0
"CHN_B12.txt","CHN","discourse_organizer","to sum up",10
"CHN_B12.txt","CHN","stance","we have to",19
"CHN_B12.txt","CHN","stance","we should not",10
"CHN_B12.txt","CHN","discourse_organizer","what is more",7
"CHN_B20.txt","CHN","referential","a lot of",7
"CHN_B20.txt","CHN","vague_extender","and so forth",0
"CHN_B20.txt","CHN","vague_extender","and so on",2
"CHN_B20.txt","CHN","discourse_organizer","as a result",2
"CHN_B20.txt","CHN","referential","be able to",2
"CHN_B20.txt","CHN","referential","because of the",1
"CHN_B20.txt","CHN","referential","due to the",3
"CHN_B20.txt","CHN","discourse_organizer","first of all",3
"CHN_B20.txt","CHN","stance","i agree with",12
"CHN_B20.txt","CHN","stance","i believe that",0
"CHN_B20.txt","CHN","stance","i disagree with",0
"CHN_B20.txt","CHN","stance","i do not",0
"CHN_B20.txt","CHN","stance","i think it",21
"CHN_B20.txt","CHN","stance","i think that",7
"CHN_B20.txt","CHN","stance","in my opinion",6
"CHN_B20.txt","CHN","referential","in order to",2
"CHN_B20.txt","CHN","stance","it is better",6
"CHN_B20.txt","CHN","stance","it is difficult",0
"CHN_B20.txt","CHN","stance","it is important",3
"CHN_B20.txt","CHN","stance","it is necessary",1
"CHN_B20.txt","CHN","referential","many kinds of",0
"CHN_B20.txt","CHN","referential","more and more",9
"CHN_B20.txt","CHN","discourse_organizer","on the other hand",3
"CHN_B20.txt","CHN","referential","one of the",4
"CHN_B20.txt","CHN","vague_extender","or something like",0
"CHN_B20.txt","CHN","referential","the most important",4
"CHN_B20.txt","CHN","stance","there are many",3
"CHN_B20.txt","CHN","stance","there is no",2
"CHN_B20.txt","CHN","vague_extender","things like that",0
"CHN_B20.txt","CHN","discourse_organizer","to sum up",2
"CHN_B20.txt","CHN","stance","we have to",4
"CHN_B20.txt","CHN","stance","we should not",1
"CHN_B20.txt","CHN","discourse_organizer","what is more",0
"ENS_XX1.txt","ENS","referential","a lot of",113
"ENS_XX1.txt","ENS","vague_extender","and so forth",0
"ENS_XX1.txt","ENS","vague_extender","and so on",2
"ENS_XX1.txt","ENS","discourse_organizer","as a result",18
"ENS_XX1.txt","ENS","referential","be able to",111
"ENS_XX1.txt","ENS","referential","because of the",19
"ENS_XX1.txt","ENS","referential","due to the",6
"ENS_XX1.txt","ENS","discourse_organizer","first of all",9
"ENS_XX1.txt","ENS","stance","i agree with",27
"ENS_XX1.txt","ENS","stance","i believe that",71
"ENS_XX1.txt","ENS","stance","i disagree with",8
"ENS_XX1.txt","ENS","stance","i do not",34
"ENS_XX1.txt","ENS","stance","i think it",91
"ENS_XX1.txt","ENS","stance","i think that",152
