"group","category","bundle","raw_frequency","total_words","normalized_per_100k"
"CHN","discourse_organizer","on the other hand",130,259538,50.0890043076544
"CHN","discourse_organizer","first of all",114,259538,43.9242037774815
"CHN","discourse_organizer","as a result",44,259538,16.9532014579753
"CHN","discourse_organizer","to sum up",27,259538,10.4031008946667
"CHN","discourse_organizer","what is more",23,259538,8.86190076212347
"CHN","referential","a lot of",340,259538,131.002011266173
"CHN","referential","more and more",240,259538,92.4720079525927
"CHN","referential","the most important",89,259538,34.2917029490865
"CHN","referential","in order to",66,259538,25.429802186963
"CHN","referential","one of the",43,259538,16.5679014248395
"CHN","referential","because of the",23,259538,8.86190076212347
"CHN","referential","many kinds of",20,259538,7.70600066271606
"CHN","referential","be able to",12,259538,4.62360039762963
"CHN","referential","due to the",10,259538,3.85300033135803
"CHN","stance","i think it",321,259538,123.681310636593
"CHN","stance","in my opinion",227,259538,87.4631075218272
"CHN","stance","it is important",185,259538,71.2805061301235
"CHN","stance","i agree with",137,259538,52.786104539605
"CHN","stance","i think that",104,259538,40.0712034461235
"CHN","stance","there are many",99,259538,38.1447032804445
"CHN","stance","there is no",76,259538,29.282802518321
"CHN","stance","we have to",56,259538,21.576801855605
"CHN","stance","it is necessary",46,259538,17.7238015242469
"CHN","stance","i believe that",31,259538,11.9443010272099
"CHN","stance","we should not",29,259538,11.1737009609383
"CHN","stance","i disagree with",25,259538,9.63250082839507
"CHN","stance","it is better",15,259538,5.77950049703704
"CHN","stance","i do not",14,259538,5.39420046390124
"CHN","stance","it is difficult",11,259538,4.23830036449383
"CHN","vague_extender","and so on",78,259538,30.0534025845926
"CHN","vague_extender","or something like",3,259538,1.15590009940741
"CHN","vague_extender","and so forth",2,259538,0.770600066271606
"CHN","vague_extender","things like that",0,259538,0
"ENS","discourse_organizer","on the other hand",37,185506,19.9454465084687
"ENS","discourse_organizer","as a result",28,185506,15.0938514118142
"ENS","discourse_organizer","first of all",25,185506,13.4766530462627
"ENS","discourse_organizer","what is more",2,185506,1.07813224370101
"ENS","discourse_organizer","to sum up",0,185506,0
"ENS","referential","a lot of",245,185506,132.071199853374
"ENS","referential","be able to",210,185506,113.203885588606
"ENS","referential","in order to",77,185506,41.508091382489
"ENS","referential","one of the",44,185506,23.7189093614223
"ENS","referential","because of the",37,185506,19.9454465084687
"ENS","referential","the most important",18,185506,9.70319019330911
"ENS","referential","due to the",12,185506,6.46879346220607
"ENS","referential","more and more",12,185506,6.46879346220607
"ENS","referential","many kinds of",1,185506,0.539066121850506
"ENS","stance","i think that",344,185506,185.438745916574
"ENS","stance","i think it",259,185506,139.618125559281
"ENS","stance","i believe that",156,185506,84.094315008679
"ENS","stance","it is important",92,185506,49.5940832102466
"ENS","stance","i do not",65,185506,35.0392979202829
"ENS","stance","i agree with",60,185506,32.3439673110304
"ENS","stance","there is no",46,185506,24.7970416051233
"ENS","stance","there are many",40,185506,21.5626448740202
"ENS","stance","i disagree with",31,185506,16.7110497773657
"ENS","stance","in my opinion",15,185506,8.08599182775759
"ENS","stance","we have to",15,185506,8.08599182775759
"ENS","stance","it is necessary",13,185506,7.00785958405658
"ENS","stance","it is difficult",11,185506,5.92972734035557
"ENS","stance","it is better",7,185506,3.77346285295354
"ENS","stance","we should not",5,185506,2.69533060925253
"ENS","vague_extender","things like that",16,185506,8.6250579496081
"ENS","vague_extender","or something like",9,185506,4.85159509665456
"ENS","vague_extender","and so on",5,185506,2.69533060925253
"ENS","vague_extender","and so forth",0,185506,0
"JPN","discourse_organizer","first of all",48,221694,21.6514655335733
"JPN","discourse_organizer","as a result",29,221694,13.0810937598672
"JPN","discourse_organizer","on the other hand",23,221694,10.3746605681705
"JPN","discourse_organizer","what is more",8,221694,3.60857758892888
"JPN","discourse_organizer","to sum up",0,221694,0
"JPN","referential","a lot of",527,221694,237.71504867069
"JPN","referential","be able to",99,221694,44.6561476629949
"JPN","referential","the most important",71,221694,32.0261261017438
"JPN","referential","in order to",68,221694,30.6729095058955
"JPN","referential","one of the",64,221694,28.8686207114311
"JPN","referential","many kinds of",50,221694,22.5536099308055
"JPN","referential","more and more",44,221694,19.8471767391089
"JPN","referential","because of the",21,221694,9.47251617093832
"JPN","referential","due to the",4,221694,1.80428879446444
"JPN","stance","i think that",609,221694,274.702968957211
"JPN","stance","i agree with",554,221694,249.893998033325
"JPN","stance","it is important",435,221694,196.216406398008
"JPN","stance","i think it",333,221694,150.207042139165
"JPN","stance","there are many",145,221694,65.405468799336
"JPN","stance","we have to",143,221694,64.5033244021038
"JPN","stance","i disagree with",131,221694,59.0904580187105
"JPN","stance","i do not",60,221694,27.0643319169666
"JPN","stance","it is difficult",45,221694,20.298248937725
"JPN","stance","we should not",41,221694,18.4939601432605
"JPN","stance","in my opinion",40,221694,18.0428879446444
"JPN","stance","it is necessary",35,221694,15.7875269515639
"JPN","stance","there is no",33,221694,14.8853825543316
"JPN","stance","i believe that",18,221694,8.11929957508999
"JPN","stance","it is better",14,221694,6.31501078062555
"JPN","vague_extender","and so on",202,221694,91.1165841204543
"JPN","vague_extender","or something like",4,221694,1.80428879446444
"JPN","vague_extender","and so forth",1,221694,0.45107219861611
"JPN","vague_extender","things like that",0,221694,0
"KOR","discourse_organizer","first of all",73,167919,43.4733413133713
"KOR","discourse_organizer","as a result",26,167919,15.4836558102418
"KOR","discourse_organizer","on the other hand",11,167919,6.55077745817924
"KOR","discourse_organizer","to sum up",5,167919,2.9776261173542
"KOR","discourse_organizer","what is more",1,167919,0.59552522347084
"KOR","referential","a lot of",325,167919,193.545697628023
"KOR","referential","one of the",52,167919,30.9673116204837
"KOR","referential","be able to",41,167919,24.4165341623044
"KOR","referential","in order to",36,167919,21.4389080449502
"KOR","referential","because of the",33,167919,19.6523323745377
"KOR","referential","the most important",24,167919,14.2926053633002
"KOR","referential","more and more",19,167919,11.314979245946
"KOR","referential","many kinds of",17,167919,10.1239287990043
"KOR","referential","due to the",14,167919,8.33735312859176
"KOR","stance","i think it",163,167919,97.0706114257469
"KOR","stance","i think that",146,167919,86.9466826267427
"KOR","stance","it is important",133,167919,79.2048547216217
"KOR","stance","i agree with",94,167919,55.979371006259
"KOR","stance","there are many",85,167919,50.6196439950214
"KOR","stance","we have to",54,167919,32.1583620674254
"KOR","stance","i do not",48,167919,28.5852107266003
"KOR","stance","in my opinion",39,167919,23.2254837153628
"KOR","stance","i disagree with",30,167919,17.8657567041252
"KOR","stance","there is no",28,167919,16.6747062571835
"KOR","stance","i believe that",20,167919,11.9105044694168
"KOR","stance","it is difficult",14,167919,8.33735312859176
"KOR","stance","it is necessary",14,167919,8.33735312859176
"KOR","stance","it is better",12,167919,7.14630268165008
"KOR","stance","we should not",5,167919,2.9776261173542
"KOR","vague_extender","and so on",38,167919,22.6299584918919
"KOR","vague_extender","and so forth",1,167919,0.59552522347084
"KOR","vague_extender","or something like",1,167919,0.59552522347084
"KOR","vague_extender","things like that",1,167919,0.59552522347084
